OrderNumber,Sales Channel,WarehouseCode,ProcuredDate,OrderDate,ShipDate,DeliveryDate,CurrencyCode,_SalesTeamID,_CustomerID,_StoreID,_ProductID,Order Quantity,Discount Applied,Unit Cost,Unit Price,Revenue,Total Sales,Total Revenue,Total Cost,Total Profit,Profit Margin,Discount Amount,Order Year,Order Month,Order Day,Order Quarter,Order DayOfWeek,Order WeekOfYear,Ship Year,Ship Month,Ship Day,Ship Quarter,Ship DayOfWeek,Ship WeekOfYear,Delivery Year,Delivery Month,Delivery Day,Delivery Quarter,Delivery DayOfWeek,Delivery WeekOfYear,Processing_Days,Shipping_Days,Total_Lead_Time,Delivery_Category,Order_Value_Category,High_Margin_Product,Discounted_Order,Large_Order,Is_Holiday_Season,Is_Summer
SO - 000101,In-Store,WARE-UHY1004,31/12/17,2018-05-31,2018-06-14,2018-06-19,USD,6,15,259,12,5,0.08,1001.18,1963.1,9030.26,9815.5,9030.26,5005.9,4024.3600000000006,44.56527276069571,785.24,2018,5,31,2,3,22,2018,6,14,2,3,24,2018,6,19,2,1,25,14,5,19,Very Slow,Low,True,True,False,False,False
SO - 000102,Online,WARE-NMK1003,31/12/17,2018-05-31,2018-06-22,2018-07-02,USD,14,20,196,27,3,0.08,3348.66,3939.6,10873.296,11818.8,10873.296,10045.98,827.3160000000007,7.608695652173919,945.504,2018,5,31,2,3,22,2018,6,22,2,4,25,2018,7,2,3,0,27,22,10,32,Very Slow,Below Avg,False,True,False,False,False
SO - 000103,Distributor,WARE-UHY1004,31/12/17,2018-05-31,2018-06-21,2018-07-01,USD,21,16,213,16,1,0.05,781.22,1775.5,1686.725,1775.5,1686.725,781.22,905.5049999999999,53.68421052631579,88.775,2018,5,31,2,3,22,2018,6,21,2,3,25,2018,7,1,3,6,26,21,10,31,Very Slow,Low,True,True,False,False,False
SO - 000104,Wholesale,WARE-NMK1003,31/12/17,2018-05-31,2018-06-02,2018-06-07,USD,28,48,107,23,8,0.08,1464.69,2324.9,17111.264000000003,18599.2,17111.264000000003,11717.52,5393.744000000002,31.52159887194775,1487.9360000000001,2018,5,31,2,3,22,2018,6,2,2,5,22,2018,6,7,2,3,23,2,5,7,Standard,Below Avg,True,True,True,False,False
SO - 000105,Distributor,WARE-NMK1003,10/4/2018,2018-05-31,2018-06-16,2018-06-26,USD,22,49,111,26,8,0.1,1476.14,1822.4,13121.28,14579.2,13121.28,11809.12,1312.1599999999999,10.000243878645984,1457.92,2018,5,31,2,3,22,2018,6,16,2,5,24,2018,6,26,2,1,26,16,10,26,Very Slow,Below Avg,False,True,True,False,False
SO - 000106,Online,WARE-PUJ1005,31/12/17,2018-05-31,2018-06-08,2018-06-13,USD,12,21,285,1,5,0.05,446.56,1038.5,4932.875,5192.5,4932.875,2232.8,2700.075,54.736335301421576,259.625,2018,5,31,2,3,22,2018,6,8,2,4,23,2018,6,13,2,2,24,8,5,13,Slow,Low,True,True,False,False,False
SO - 000107,In-Store,WARE-XYS1001,31/12/17,2018-05-31,2018-06-08,2018-06-14,USD,10,14,6,5,4,0.15,536.67,1192.6,4054.8399999999997,4770.4,4054.8399999999997,2146.68,1908.1599999999999,47.05882352941176,715.56,2018,5,31,2,3,22,2018,6,8,2,4,23,2018,6,14,2,3,24,8,6,14,Slow,Low,True,True,False,False,False
SO - 000108,In-Store,WARE-PUJ1005,10/4/2018,2018-05-31,2018-06-26,2018-07-01,USD,6,9,280,46,5,0.05,1525.19,1815.7,8624.574999999999,9078.5,8624.574999999999,7625.950000000001,998.6249999999982,11.57883142067868,453.92500000000007,2018,5,31,2,3,22,2018,6,26,2,1,26,2018,7,1,3,6,26,26,5,31,Very Slow,Low,False,True,False,False,False
SO - 000109,In-Store,WARE-PUJ1005,31/12/17,2018-06-01,2018-06-16,2018-06-21,USD,4,9,299,47,4,0.3,2211.2,3879.3,10862.039999999999,15517.2,10862.039999999999,8844.8,2017.2399999999998,18.571465396923596,4655.16,2018,6,1,2,4,22,2018,6,16,2,5,24,2018,6,21,2,3,25,15,5,20,Very Slow,Below Avg,False,True,False,False,True
SO - 000110,In-Store,WARE-UHY1004,31/12/17,2018-06-01,2018-06-29,2018-07-01,USD,10,33,261,13,8,0.05,1212.97,1956.4,14868.64,15651.2,14868.64,9703.76,5164.879999999999,34.7367344962283,782.5600000000001,2018,6,1,2,4,22,2018,6,29,2,4,26,2018,7,1,3,6,26,28,2,30,Very Slow,Below Avg,True,True,True,False,True
SO - 000111,Distributor,WARE-XYS1001,31/12/17,2018-06-01,2018-06-15,2018-06-20,USD,23,21,17,38,6,0.1,124.62,201.0,1085.4,1206.0,1085.4,747.72,337.68000000000006,31.11111111111111,120.60000000000001,2018,6,1,2,4,22,2018,6,15,2,4,24,2018,6,20,2,2,25,14,5,19,Very Slow,Low,True,True,False,False,True
